MIA,MIA vs. MIL,01/14/2023,W,240,111,45,87,51.7,11,22,50.0,10,12,83.3,13,38,51,17,9,3,11,14,16
MIN,MIN vs. CLE,01/14/2023,W,240,110,45,80,56.3,9,28,32.1,11,15,73.3,4,27,31,22,10,5,15,21,8
ATL,ATL @ TOR,01/14/2023,W,240,114,43,84,51.2,11,27,40.7,17,18,94.4,5,35,40,19,6,4,12,22,11
IND,IND vs. MEM,01/14/2023,L,240,112,38,103,36.9,11,47,23.4,25,28,89.3,16,33,49,26,5,8,20,20,-18
BOS,BOS @ CHA,01/14/2023,W,240,122,47,99,47.5,19,53,35.8,9,10,90.0,14,32,46,35,8,4,7,15,16
MEM,MEM @ IND,01/14/2023,W,240,130,48,87,55.2,12,32,37.5,22,28,78.6,7,38,45,32,11,8,16,21,18
CHA,CHA vs. BOS,01/14/2023,L,240,106,41,88,46.6,8,27,29.6,16,19,84.2,10,36,46,21,3,2,11,11,-16
PHI,PHI @ UTA,01/14/2023,W,240,118,40,89,44.9,17,39,43.6,21,26,80.8,9,28,37,23,5,5,8,17,1
POR,POR vs. DAL,01/14/2023,W,240,136,49,88,55.7,17,41,41.5,21,22,95.5,10,37,47,34,7,4,12,20,17
UTA,UTA vs. PHI,01/14/2023,L,240,117,43,90,47.8,12,40,30.0,19,23,82.6,10,38,48,20,5,6,12,24,-1
DAL,DAL @ POR,01/14/2023,L,240,119,43,82,52.4,22,46,47.8,11,19,57.9,2,23,25,28,4,3,11,18,-17
SAC,SAC vs. HOU,01/13/2023,W,240,139,47,86,54.7,20,40,50.0,25,29,86.2,14,32,46,34,10,8,14,19,25
OKC,OKC @ CHI,01/13/2023,W,240,124,47,92,51.1,11,33,33.3,19,22,86.4,12,34,46,22,12,6,11,19,14
DEN,DEN @ LAC,01/13/2023,W,240,115,41,82,50.0,14,33,42.4,19,25,76.0,10,33,43,24,7,4,11,11,12
UTA,UTA vs. ORL,01/13/2023,W,240,112,36,83,43.4,11,35,31.4,29,40,72.5,17,42,59,15,9,11,24,18,4
HOU,HOU @ SAC,01/13/2023,L,240,114,43,91,47.3,12,37,32.4,16,25,64.0,12,22,34,23,10,4,15,24,-25
CHI,CHI vs. OKC,01/13/2023,L,240,110,38,85,44.7,12,38,31.6,22,24,91.7,10,32,42,30,7,5,16,17,-14
IND,IND vs. ATL,01/13/2023,L,240,111,40,101,39.6,7,30,23.3,24,29,82.8,19,32,51,24,8,9,12,22,-2
SAS,SAS vs. GSW,01/13/2023,L,240,113,40,88,45.5,8,22,36.4,25,34,73.5,7,31,38,26,6,3,15,19,-31
NYK,NYK @ WAS,01/13/2023,W,240,112,41,92,44.6,8,29,27.6,22,31,71.0,14,40,54,15,3,6,7,23,4
MIN,MIN vs. PHX,01/13/2023,W,240,121,47,90,52.2,10,28,35.7,17,20,85.0,4,33,37,24,13,3,15,22,5
GSW,GSW @ SAS,01/13/2023,W,240,144,55,101,54.5,18,48,37.5,16,20,80.0,12,43,55,55,33,9,6,13,26,31
PHX,PHX @ MIN,01/13/2023,L,240,116,41,86,47.7,14,23,60.9,20,24,83.3,9,34,43,28,10,3,19,20,-5
WAS,WAS vs. NYK,01/13/2023,L,240,108,36,93,38.7,13,42,31.0,23,26,88.5,12,38,50,18,3,4,8,23,-4
DET,DET vs. NOP,01/13/2023,L,240,110,43,90,47.8,7,30,23.3,17,24,70.8,7,35,42,20,7,3,13,23,-6
NOP,NOP @ DET,01/13/2023,W,240,116,42,86,48.8,11,31,35.5,21,30,70.0,8,40,48,29,7,3,17,21,6
ATL,ATL @ IND,01/13/2023,W,240,113,41,94,43.6,16,33,48.5,15,21,71.4,14,36,50,26,6,9,14,22,2
LAC,LAC vs. DEN,01/13/2023,L,240,103,41,87,47.1,10,29,34.5,11,14,78.6,11,32,43,20,6,3,12,18,-12
ORL,ORL @ UTA,01/13/2023,L,240,108,42,96,43.8,14,36,38.9,10,16,62.5,11,29,40,23,13,3,15,25,-4
DAL,DAL @ LAL,01/12/2023,W,290,119,48,96,50.0,14,42,33.3,9,17,52.9,3,51,54,25,4,9,19,26,4
LAL,LAL vs. DAL,01/12/2023,L,290,115,44,112,39.3,10,41,24.4,17,27,63.0,14,42,56,24,7,4,10,18,-4
PHI,PHI vs. OKC,01/12/2023,L,240,114,39,88,44.3,11,36,30.6,25,27,92.6,9,30,39,30,4,3,17,29,-19
OKC,OKC @ PHI,01/12/2023,W,240,133,44,86,51.2,14,33,42.4,31,33,93.9,5,34,39,28,7,6,11,22,19
MIL,MIL @ MIA,01/12/2023,L,240,102,35,87,40.2,22,57,38.6,10,15,66.7,8,31,39,20,10,2,11,12,-6
MIA,MIA vs. MIL,01/12/2023,W,240,108,42,95,44.2,9,34,26.5,15,16,93.8,18,43,61,22,8,1,13,8,6
POR,POR vs. CLE,01/12/2023,L,240,113,40,78,51.3,11,33,33.3,22,29,75.9,5,31,36,17,6,4,17,27,-6
CHA,CHA @ TOR,01/12/2023,L,240,114,41,77,53.2,13,33,39.4,19,27,70.4,9,33,42,27,6,5,22,30,-10
BKN,BKN vs. BOS,01/12/2023,L,240,98,38,84,45.2,13,34,38.2,9,11,81.8,4,27,31,26,8,9,12,19,-11
CLE,CLE @ POR,01/12/2023,W,240,119,44,89,49.4,7,22,31.8,24,31,77.4,12,32,44,28,6,1,11,19,6
TOR,TOR vs. CHA,01/12/2023,W,240,124,43,83,51.8,10,28,35.7,28,36,77.8,8,24,32,30,15,4,9,23,10
BOS,BOS @ BKN,01/12/2023,W,240,109,41,86,47.7,12,36,33.3,15,17,88.2,12,36,48,23,4,6,14,15,11
PHX,PHX @ DEN,01/11/2023,L,240,97,39,90,43.3,9,32,28.1,10,14,71.4,15,29,44,28,4,2,20,17,-29
WAS,WAS vs. CHI,01/11/2023,W,240,100,38,82,46.3,7,23,30.4,17,21,81.0,12,40,52,21,5,3,18,18,3
MIN,MIN @ DET,01/11/2023,L,240,118,43,88,48.9,16,33,48.5,16,21,76.2,13,23,36,22,7,2,19,22,-17
NYK,NYK vs. IND,01/11/2023,W,240,119,38,84,45.2,15,42,35.7,28,33,84.8,12,38,50,21,9,4,15,16,6
IND,IND @ NYK,01/11/2023,L,240,113,43,90,47.8,12,39,30.8,15,21,71.4,8,33,41,27,8,5,13,25,-6
DET,DET vs. MIN,01/11/2023,W,240,135,48,80,60.0,17,32,53.1,22,28,78.6,7,31,38,30,10,7,17,20,17
MIL,MIL @ ATL,01/11/2023,W,240,114,45,98,45.9,18,48,37.5,6,11,54.5,14,43,57,28,6,4,11,15,9
ATL,ATL vs. MIL,01/11/2023,L,240,105,39,87,44.8,11,30,36.7,16,18,88.9,6,35,41,25,5,3,11,12,-9
MEM,MEM vs. SAS,01/11/2023,W,240,135,52,101,51.5,14,22,63.6,17,25,68.0,17,17,40,57,19,6,8,14,17,6
SAS,SAS @ MEM,01/11/2023,L,240,129,50,107,46.7,11,34,32.4,18,23,78.3,17,31,48,33,7,11,12,18,-6
DEN,DEN vs. PHX,01/11/2023,W,240,126,48,85,56.5,15,34,44.1,15,21,71.4,7,31,38,30,9,4,11,20,29
SAC,SAC vs. HOU,01/11/2023,W,240,135,45,94,47.9,19,48,39.6,26,31,83.9,9,36,45,28,4,4,9,19,20
CHI,CHI @ WAS,01/11/2023,L,240,97,41,88,46.6,9,29,31.0,6,9,66.7,8,31,39,16,7,6,12,19,-3
BOS,BOS vs. NOP,01/11/2023,W,240,125,44,91,48.4,15,44,34.1,22,25,88.0,11,39,50,24,7,5,9,16,11
NOP,NOP @ BOS,01/11/2023,L,240,114,45,87,51.7,11,30,36.7,13,17,76.5,4,29,33,22,5,4,9,17,-11
HOU,HOU @ SAC,01/11/2023,L,240,115,44,96,45.8,16,41,39.0,11,17,64.7,8,40,48,30,7,3,14,23,-20
DAL,DAL @ LAC,01/10/2023,L,240,101,30,69,43.5,12,38,31.6,29,36,80.6,3,29,32,15,5,6,12,17,-12
LAC,LAC vs. DAL,01/10/2023,W,240,113,39,86,45.3,12,31,38.7,23,30,76.7,12,34,46,20,7,4,10,23,12
ORL,ORL @ POR,01/10/2023,W,240,109,40,78,51.3,9,24,37.5,20,25,80.0,6,29,35,19,10,2,16,20,3
POR,POR vs. ORL,01/10/2023,L,240,106,42,87,48.3,6,35,17.1,16,19,84.2,13,30,43,22,10,7,17,22,-3
CLE,CLE @ UTA,01/10/2023,L,240,114,42,90,46.7,10,37,27.0,20,24,83.3,7,30,37,18,7,7,5,25,-2
UTA,UTA vs. CLE,01/10/2023,W,240,116,38,87,43.7,10,36,27.8,30,37,81.1,15,39,54,21,3,3,16,17,2
PHI,PHI vs. DET,01/10/2023,W,240,147,54,89,60.7,11,31,35.5,28,30,93.3,10,45,55,36,7,8,19,29,31
TOR,TOR vs. CHA,01/10/2023,W,240,132,45,91,49.5,20,44,45.5,22,27,81.5,18,31,49,32,4,4,11,17,12
GSW,GSW vs. PHX,01/10/2023,L,240,113,37,96,38.5,18,48,37.5,21,27,77.8,16,29,45,24,13,2,17,26,-12
PHX,PHX @ GSW,01/10/2023,W,240,125,41,90,45.6,14,31,45.2,29,31,93.5,19,38,57,26,5,7,22,22,12
MIA,MIA vs. OKC,01/10/2023,W,240,112,31,79,39.2,10,33,30.3,40,40,100,13,28,41,18,10,4,20,19,1
OKC,OKC @ MIA,01/10/2023,L,240,111,44,91,48.4,9,35,25.7,14,21,66.7,14,30,44,27,8,3,19,27,-1
DET,DET @ PHI,01/10/2023,L,240,116,36,89,40.4,14,39,35.9,30,36,83.3,3,23,26,23,9,5,11,22,-31
CHA,CHA @ TOR,01/10/2023,L,240,120,47,86,54.7,15,35,42.9,11,15,73.3,6,28,34,33,6,4,10,19,-12
ORL,ORL @ SAC,01/09/2023,L,240,111,41,90,45.6,14,44,31.8,15,20,75.0,9,32,41,24,7,7,13,18,-25
SAC,SAC vs. ORL,01/09/2023,W,240,136,52,97,53.6,23,46,50.0,9,12,75.0,11,37,48,39,4,1,11,16,25
SAS,SAS @ MEM,01/09/2023,L,240,113,44,97,45.4,11,32,34.4,14,16,87.5,12,30,42,28,8,1,14,24,-8
MEM,MEM vs. SAS,01/09/2023,W,240,121,45,91,49.5,11,26,42.3,20,35,57.1,11,39,50,26,9,7,14,15,8
MIL,MIL @ NYK,01/09/2023,W,240,111,39,89,43.8,19,49,38.8,14,18,77.8,12,36,48,27,3,5,14,17,4
BOS,BOS vs. CHI,01/09/2023,W,240,107,38,87,43.7,11,41,26.8,20,21,95.2,9,41,50,25,2,7,9,12,8
CHI,CHI @ BOS,01/09/2023,L,240,99,39,86,45.3,12,35,34.3,9,14,64.3,6,36,42,19,6,1,8,18,-8
NYK,NYK vs. MIL,01/09/2023,L,240,107,38,100,38.0,11,41,26.8,20,22,90.9,18,30,48,16,8,1,7,14,-4
